rank,domain,count,share_percent
1,Discrimination & toxicity,377,18.5300
2,Privacy & security,262,12.8800
3,Misinformation,265,13.0300
4,Malicious actors & misuse,498,24.4800
5,Human-computer interaction,83,4.0800
6,Socioeconomic & environmental harms,124,6.1000
7,"AI system safety, failures & limitations",425,20.8900
8,Other,0,0.0000
