metric,value
total_events,2034
complete_chain_events,1998
complete_chain_coverage,0.9823
transition_RiskSource->Risk_count,2008
transition_RiskSource->Risk_evidence_support_rate,1.0
transition_Risk->Consequence_count,2010
transition_Risk->Consequence_evidence_support_rate,1.0
transition_Consequence->Impact_count,2019
transition_Consequence->Impact_evidence_support_rate,1.0
transition_Impact->AffectedActor_count,2013
transition_Impact->AffectedActor_evidence_support_rate,1.0
